ID,arrondissment,superficie,nbr_chambre,nbr_p,etage,standing,prix
1,69005,108.52,2,3,5,3,430000
2,69004,61,3,4,4,3,390000
3,69004,62.38,1,3,1,3,375000
4,69006,59.4,1,2,2,2,348000
5,69003,40.97,1,2,4,2,280000
6,69008,70,2,3,4,1,264000
7,69004,118.5,3,4,3,3,550000
8,69002,78.41,3,4,2,3,420000
9,69003,60.53,1,2,1,2,299000
10,69006,83,2,3,4,3,385000
11,69004,86.57,1,3,4,3,375000
12,69003,85.5,3,4,1,3,482500
13,69008,87.6,3,4,4,3,442000
14,69008,93,4,5,5,3,547000
15,69003,60.53,1,2,6,2,299000
16,69007,69,2,3,3,3,400000
17,69008,21,0,1,5,1,90000
18,69004,145.66,4,5,2,3,670000
19,69007,20.06,1,1,0,2,159000
20,69003,25,0,1,1,1,115000 
